addr,total,success,fail
0x16e5b9e85c438f743c7c4a858c2bfc24c637d184,50,2,48
0xac28f6d70c6c6d5089e506efb80624b8ecb666f8,258,0,258
0x3ef4cfb7f36830c7a6de299409131fc7b4dbacbe,57,9,48
0x43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd,263,236,27
0xa38db444a823290dbc1be346a475564abfacbadc,138,4,134
0x1afef6b252cc35ec061efe6a9676c90915a73f18,261,18,243
0xef0a7481c30d056aef9c075f5d48ead31ac52336,396,120,276
0x672ab08eaca5506e473798fbe982dcf50405d1be,240,15,225
0xf6832ea221ebfdc2363729721a146e6745354b14,106,2,104
0x38ca49b6dfa820bca917a60995cc07b88db7dc4d,251,0,251
0xed04915c23f00a313a544955524eb7dbd823143d,202,191,11
0x48da0766131fd6a099da1af852dc740e80b60e70,143,9,134
0xb0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a,132,126,6
0xa775a866407e78cb5f66d16e6f3a75f1430aa51d,98,10,88
0x77f649385ca963859693c3d3299d36dfc7324eb9,404,17,387
0xb060204e66bfc61e428d42a5aa58715051f3409c,81,0,81
0xe02f11277cfa84c696370c097c51848c6a6523b3,124,0,124
0x79e0f1936b3f15a9e8dd514a3ec01034c0d9fcc6,120,25,95
0xa9598333b99d14d90bc81cad8af82c4c70625e75,56,2,54
0xe47fd6eafb89abce67071a7739ff2018c218ba8a,168,6,162
0xb26c4b3ca601136daf98593feaeff9e0ca702a8d,96,2,94
0x9043c7aeafc7c4c5e4293a4bb924980c56c7dae3,157,7,150
0xa9fdb3f96fae7c12d70393659867c6115683ada0,365,37,328
0xddfecd15f89e174e9f01a5ece6c7fe6e811ccd33,240,10,230
0xf8a039669c2c13222d523bfbfc32381835342319,54,1,53
0xd64a6f3c0bc12a619ff7eef511b0258da913c5c3,39,39,0
0xfb67b3868d5fdcae0e93f254e50c4ac552eae270,63,34,29
0xc4219ce63cec2236a955655951aea9b6f8b2431b,117,1,116
0x0fa48014a47a2105876969389b0fc34c582e197f,58,0,58
0xbd6038c4bb496e0ea4d67115a927bdcfb99cdc11,73,10,63
0xd6c037be7fa60587e174db7a6710f7635d2971e7,178,175,3
0x9e8bfe46f9af27c5ea5c9c72b86d71bb86953a0c,65,63,2
0xdc6d986555be939d83e317e7534edc64ca81e7c6,15,5,10
0x7b86600211e62b597e7cea03476b9efeb6872962,395,1,394
0xaf691508ba57d416f895e32a1616da1024e882d2,83,7,76
0x030a868aa956ab97f6ed4431663ea0f7db0f9aed,122,11,111
0xb487a91382cd66076fc4c1af4d7d8ce7f929a9ba,280,39,241
0x37e83a94c6b1bdb816b59ac71dd02cf154d8111f,44,44,0
0x22de9912cd3d74953b1cd1f250b825133cc2c1b3,185,185,0
0xb4312305beefb7caef11432e74bcd5d9ebcdd992,379,14,365
0xbbfb6e466f376e493da35b5665dbfc19f7204231,127,6,121
0x1dfe7ca09e99d10835bf73044a23b73fc20623df,448,13,435
0xf5cfbc74057c610c8ef151a439252680ac68c6dc,75,9,66
0x455308652b44ac78def0f91149adfb834c0b3017,40,0,40
0x9d49bfc921f36448234b0efa67b5f91b3c691515,34,34,0
0x29e99baefeac4fe2b3dddbbfc18a517fb7d6ddf8,40,3,37
0x3333336d579a0107849eb68c9f1c0b92d48c2889,77,44,33
0x869e1f1bee079ba382b64bfecab476211d699845,108,0,108
0xc0a4df35568f116c370e6a6a6022ceb908eeddac,55,49,6
0x8e44ebb62ef1d1191eda8e5f1cb2ffc279182c5b,138,40,98
0xcb86c6a22cb56b6cf40cafedb06ba0df188a416e,91,91,0
0xc07a150ecadf2cc352f5586396e344a6b17625eb,86,28,58
0x94e496474f1725f1c1824cb5bdb92d7691a4f03a,65,2,63
0xf66cd2f8755a21d3c8683a10269f795c0532dd58,66,63,3
0xcf86a1122cb1540f3183ad5b1e8a488a4eae7f3b,193,10,183
0xdcd9ff86d4272ecb9cab26b5949a00bd02dfd931,57,2,55
0x7037843d739d846cdce3a6839a80f7d70b60b99a,71,15,56
0xbb126042235e6bd38b17744cb31a8bf4a206c045,122,121,1
0x2a8e1e676ec238d8a992307b495b45b3feaa5e86,359,357,2
0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,166,6,160
0x25c5515918f4281ef3efbd91a56e4700ab8cf893,111,7,104
0x98dfb360cbc65045a8415fa2514f549cd3000f02,494,494,0
0x74211ca76d4cdd26c143e8ffd74469a04ae4e43b,1185,6,1179
0x0d438f3b5175bebc262bf23753c1e53d03432bde,444,3,441
0x4dc6d9536b82552dd1f783fdf5810e517137e1e1,31,0,31
0xd4dd6074a4614b7f9bdfc721add6412a9d93005f,72,2,70
0x5b4130c81c3ae213e4cdfe32d568bbaa2fe80c26,172,0,172
0xee4458e052b533b1aabd493b5f8c4d85d7b263dc,222,222,0
0x02aa731631c6d7f8241d74f906f5b51724ab98f8,294,12,282
0xfd3fd9b793bac60e7f0a9b9fb759db3e250383cb,196,14,182
0x9c9502eac5781513405bab0345ba6cbb7e4756c5,26,25,1
0x1aba27d6a420feb25af6cf6b80b93b7526725a71,103,0,103
0xa336fbb3c26fc811c7375eda079aa0916d5e7ec3,18,0,18
0x61b5c3aee3a25f6f83531d548a4d2ee58450f5d9,65,1,64
0x84f4226af1eb4b5e76c5dd203eef7f1f3452fb9d,178,1,177
0x4dab23c0a529d1caf86f7a902d5340959d170c1e,235,26,209
0xdd43bc8a9116f0ab39ea5fc0b61f2521b7c23e28,323,2,321
0x2c974b2d0ba1716e644c1fc59982a89ddd2ff724,364,351,13
0x7d8820fa92eb1584636f4f5b8515b5476b75171a,193,9,184
0xfbbe9b1142c699512545f47937ee6fae0e4b0aa9,107,2,105
0x5b322514ff727253292637d9054301600c2c81e8,108,93,15
0xabe580e7ee158da464b51ee1a83ac0289622e6be,166,162,4
0x4ca4d3b5b01207ffce9bea2db9857d4804aa89f3,326,34,292
0x8af7abb1c69bf0a8d3b49b252fff2843596504a2,156,1,155
0xb1abd7aba7d99bbefb33d1dfc66b0dd522335350,43,0,43
0x6250b989ecf7cb82c7892e1cea604ed813423635,131,29,102
0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18,135,2,133
0xd77e17ecc3942b6e83f67c56999c5230c70a85a4,157,22,135
0xd55236d48606c295adebf129dad04fc74bfaa708,68,6,62
0xe7574b5b209d90eb04361da02bc2238f166ec985,231,231,0
0xdab1d2ffb0fc22c9dde2c4474220c50164ff124c,145,10,135
0xb3165abdfeb0a3779264aac5c71b81b1b9a4b705,182,1,181
0x45ebb5fe718f40052fb2dc2463c13717b7b72768,209,0,209
0x6f75beaa3d3d8a15e08a9f499464c696fc4d4cde,286,1,285
0xc94f2ad944c0c2f456d051010d5f0e69a4a33043,84,2,82
0x2781246fe707bb15cee3e5ea354e2154a2877b16,171,162,9
0x09f643dd754fc4effd1d2ddcf0143b54122f5aeb,371,21,350
0x10010078a54396f62c96df8532dc2b4847d47ed3,52,49,3
0x0b63128c40737b13647552e0c926bcfeccc35f93,136,10,126
0xea5f70faa03f5c30b96029635c8d431d1a3cd1b8,174,47,127
0xd487892bb4c57edbe7ab401d9fe801c8fe6473f5,70,13,57
0xa3a5c5a9494640b2c15b1ff328bb26809279fa1f,36,2,34
0x8b27a351690e62b623a7630c5294e7dac5371723,223,28,195
0x31fdd1c6607f47c14a2821f599211c67ac20fa96,71,71,0
0x01379a8c67466af8ce0cf1f99c3d8208b2a3af23,144,13,131
0x6ce9ee25a3942baab219c2ee6fadcb8abefaee52,119,4,115
0x97872eafd79940c7b24f7bcc1eadb1457347adc9,90,10,80
0x0b4b2ba334f476c8f41bfe52a428d6891755554d,170,1,169
0xa3e53fe692eeda3502cf5ccfd8a535e1f93d23dd,60,56,4
0xad22f63404f7305e4713ccbd4f296f34770513f4,268,264,4
0x853d955acef822db058eb8505911ed77f175b99e,330,4,326
0xa18c3352be081c47abd207b0361c09b74223a1fe,12,4,8
0xd794dd1cada4cf79c9eebaab8327a1b0507ef7d4,190,7,183
0xddfc15ec4a1d1f1cf15dc047dd4f0cc24de0fc34,167,1,166
