addr,total,success,fail
0x377a825a415a6ee3fdf3c65d80b26e9279650bef,93,61,32
0x16e5b9e85c438f743c7c4a858c2bfc24c637d184,50,13,37
0x4bfa68447af291cb1734341d6fb8e6f3936f2d4e,25,23,2
0x43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd,263,99,164
0x1afef6b252cc35ec061efe6a9676c90915a73f18,261,92,169
0xb80a9006695ff06ac0e6c83e5b4bdeb1c4cd339f,190,148,42
0xb5643598496b159263c67bd0d25728713f5aad04,297,295,2
0xf7ae26f1bf3c2312a4cf42246f947a4be25eef92,101,48,53
0x0c5d72bd20c3f0eb533c920adf526b24409ada59,67,56,11
0xed04915c23f00a313a544955524eb7dbd823143d,202,74,128
0x4a222dad7a191f0fa8c1b9b4ce3ec1fe714bd709,93,74,19
0x77f649385ca963859693c3d3299d36dfc7324eb9,404,29,375
0xe02f11277cfa84c696370c097c51848c6a6523b3,124,0,124
0xcdb1f816e17f2096cd28f6fe5c8b8450a9bf250f,64,35,29
0x0612dbc8671270768a10d1f6d5d988fc4ff23a1b,43,7,36
0x79e0f1936b3f15a9e8dd514a3ec01034c0d9fcc6,120,75,45
0x5db69b9f173f9d9fa91b7cdcc4dc9939c0499cfe,89,70,19
0x6d4e70f49d030a92005c9a00105c7fa1626f41dc,171,138,33
0xd64a6f3c0bc12a619ff7eef511b0258da913c5c3,39,39,0
0xfb67b3868d5fdcae0e93f254e50c4ac552eae270,63,41,22
0xd6c037be7fa60587e174db7a6710f7635d2971e7,178,178,0
0xe15715d6dbbc7227b2f6b0f044c3b4978676d48f,93,33,60
0x9e8bfe46f9af27c5ea5c9c72b86d71bb86953a0c,65,23,42
0x6b81ba5272639267a9fdc087d91f005f5f36372f,270,13,257
0xaf691508ba57d416f895e32a1616da1024e882d2,83,3,80
0xb487a91382cd66076fc4c1af4d7d8ce7f929a9ba,280,91,189
0x37e83a94c6b1bdb816b59ac71dd02cf154d8111f,44,44,0
0x854df744630c51c782db5c992c621183d9c654cc,83,67,16
