addr,total,success,fail
0x377a825a415a6ee3fdf3c65d80b26e9279650bef,93,79,14
0xac28f6d70c6c6d5089e506efb80624b8ecb666f8,258,70,188
0x4bfa68447af291cb1734341d6fb8e6f3936f2d4e,25,25,0
0x3ef4cfb7f36830c7a6de299409131fc7b4dbacbe,57,1,56
0x43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd,263,263,0
0xa38db444a823290dbc1be346a475564abfacbadc,138,35,103
0x1afef6b252cc35ec061efe6a9676c90915a73f18,261,80,181
0xef0a7481c30d056aef9c075f5d48ead31ac52336,396,120,276
0xb80a9006695ff06ac0e6c83e5b4bdeb1c4cd339f,190,182,8
0x87b5d8fe6cf8b37678b6cef7cca23a4852883c48,124,2,122
0xb5643598496b159263c67bd0d25728713f5aad04,297,179,118
0xf6832ea221ebfdc2363729721a146e6745354b14,106,44,62
0xf7ae26f1bf3c2312a4cf42246f947a4be25eef92,101,49,52
0x0c5d72bd20c3f0eb533c920adf526b24409ada59,67,26,41
0x38ca49b6dfa820bca917a60995cc07b88db7dc4d,251,246,5
0xa66cc78067fd1e6aa3eec4ccdff88d81527f92c1,261,6,255
0xed04915c23f00a313a544955524eb7dbd823143d,202,202,0
0x48da0766131fd6a099da1af852dc740e80b60e70,143,3,140
0xb0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a,132,127,5
0x4a222dad7a191f0fa8c1b9b4ce3ec1fe714bd709,93,85,8
0xbf6301236d71c0d49144b35241905794f5a10bb9,402,402,0
0xa775a866407e78cb5f66d16e6f3a75f1430aa51d,98,5,93
0xe02f11277cfa84c696370c097c51848c6a6523b3,124,0,124
0xcdb1f816e17f2096cd28f6fe5c8b8450a9bf250f,64,34,30
0x0612dbc8671270768a10d1f6d5d988fc4ff23a1b,43,3,40
0x79e0f1936b3f15a9e8dd514a3ec01034c0d9fcc6,120,98,22
0xa9598333b99d14d90bc81cad8af82c4c70625e75,56,5,51
0x5db69b9f173f9d9fa91b7cdcc4dc9939c0499cfe,89,59,30
0xe47fd6eafb89abce67071a7739ff2018c218ba8a,168,0,168
0x6d4e70f49d030a92005c9a00105c7fa1626f41dc,171,81,90
0xb26c4b3ca601136daf98593feaeff9e0ca702a8d,96,94,2
0x9043c7aeafc7c4c5e4293a4bb924980c56c7dae3,157,3,154
0xa9fdb3f96fae7c12d70393659867c6115683ada0,365,2,363
