offset,opcode,detection
1730,1730: SLOAD,Store read after unsafe call
1737,1737: SSTORE,Store write after unsafe call
1835,1835: SLOAD,Store read after unsafe call
1842,1842: SSTORE,Store write after unsafe call
1950,1950: SLOAD,Store read after unsafe call
1957,1957: SSTORE,Store write after unsafe call
2344,2344: SLOAD,Store read after unsafe call
2351,2351: SSTORE,Store write after unsafe call
2623,2623: SLOAD,Store read after unsafe call
2726,2726: SSTORE,Store write after unsafe call
2792,2792: SLOAD,Store read after unsafe call
2838,2838: SLOAD,Store read after unsafe call
2921,2921: SSTORE,Store write after unsafe call
3014,3014: SLOAD,Store read after unsafe call
3113,3113: SSTORE,Store write after unsafe call
3346,3346: SLOAD,Store read after unsafe call
3487,3487: SSTORE,Store write after unsafe call
3633,3633: SLOAD,Store read after unsafe call
3774,3774: SSTORE,Store write after unsafe call
3920,3920: SLOAD,Store read after unsafe call
4061,4061: SSTORE,Store write after unsafe call
4325,4325: SLOAD,Store read after unsafe call
4332,4332: SSTORE,Store write after unsafe call
4426,4426: SLOAD,Store read after unsafe call
4583,4583: SSTORE,Store write after unsafe call
4729,4729: SLOAD,Store read after unsafe call
4870,4870: SSTORE,Store write after unsafe call
4963,4963: SLOAD,Store read after unsafe call
5116,5116: SSTORE,Store write after unsafe call
5416,5416: SLOAD,Store read after unsafe call
5430,5430: SSTORE,Store write after unsafe call
5631,5631: SLOAD,Store read after unsafe call
5677,5677: SLOAD,Store read after unsafe call
5760,5760: SSTORE,Store write after unsafe call
5826,5826: SLOAD,Store read after unsafe call
5872,5872: SLOAD,Store read after unsafe call
5955,5955: SSTORE,Store write after unsafe call
6053,6053: SLOAD,Store read after unsafe call
6060,6060: SSTORE,Store write after unsafe call
