offset,opcode,detection
3273,3273: SLOAD,Store read after unsafe call
3319,3319: SLOAD,Store read after unsafe call
3402,3402: SSTORE,Store write after unsafe call
3500,3500: SLOAD,Store read after unsafe call
3507,3507: SSTORE,Store write after unsafe call
3605,3605: SLOAD,Store read after unsafe call
3612,3612: SSTORE,Store write after unsafe call
3732,3732: SLOAD,Store read after unsafe call
3746,3746: SSTORE,Store write after unsafe call
4245,4245: SLOAD,Store read after unsafe call
4421,4421: SLOAD,Store read after unsafe call
4520,4520: SSTORE,Store write after unsafe call
4740,4740: SLOAD,Store read after unsafe call
4747,4747: SSTORE,Store write after unsafe call
4858,4858: SLOAD,Store read after unsafe call
4872,4872: SSTORE,Store write after unsafe call
5221,5221: SLOAD,Store read after unsafe call
5324,5324: SSTORE,Store write after unsafe call
5542,5542: SLOAD,Store read after unsafe call
5683,5683: SSTORE,Store write after unsafe call
6541,6541: SLOAD,Store read after unsafe call
6694,6694: SSTORE,Store write after unsafe call
6946,6946: SLOAD,Store read after unsafe call
7087,7087: SSTORE,Store write after unsafe call
7471,7471: SLOAD,Store read after unsafe call
7478,7478: SSTORE,Store write after unsafe call
7688,7688: SLOAD,Store read after unsafe call
7695,7695: SSTORE,Store write after unsafe call
8357,8357: SLOAD,Store read after unsafe call
8456,8456: SSTORE,Store write after unsafe call
8549,8549: SLOAD,Store read after unsafe call
8702,8702: SSTORE,Store write after unsafe call
8797,8797: SLOAD,Store read after unsafe call
8900,8900: SSTORE,Store write after unsafe call
9010,9010: SLOAD,Store read after unsafe call
9024,9024: SSTORE,Store write after unsafe call
9693,9693: SLOAD,Store read after unsafe call
9739,9739: SLOAD,Store read after unsafe call
9822,9822: SSTORE,Store write after unsafe call
10440,10440: SSTORE,Store write after unsafe call
11422,11422: SLOAD,Store read after unsafe call
11502,11502: SSTORE,Store write after unsafe call
11571,11571: SLOAD,Store read after unsafe call
11651,11651: SSTORE,Store write after unsafe call
12247,12247: SLOAD,Store read after unsafe call
13681,13681: SLOAD,Store read after unsafe call
13700,13700: SSTORE,Store write after unsafe call
13769,13769: SLOAD,Store read after unsafe call
13849,13849: SSTORE,Store write after unsafe call
