offset,opcode,detection
495,495: SLOAD,Store read after unsafe call
502,502: SSTORE,Store write after unsafe call
595,595: SLOAD,Store read after unsafe call
694,694: SSTORE,Store write after unsafe call
803,803: SLOAD,Store read after unsafe call
817,817: SSTORE,Store write after unsafe call
1506,1506: SLOAD,Store read after unsafe call
1513,1513: SSTORE,Store write after unsafe call
1650,1650: SLOAD,Store read after unsafe call
1657,1657: SSTORE,Store write after unsafe call
1881,1881: SLOAD,Store read after unsafe call
1927,1927: SLOAD,Store read after unsafe call
2010,2010: SSTORE,Store write after unsafe call
