offset,opcode,detection
839,839: SLOAD,Store read after unsafe call
846,846: SSTORE,Store write after unsafe call
946,946: SLOAD,Store read after unsafe call
992,992: SLOAD,Store read after unsafe call
1075,1075: SSTORE,Store write after unsafe call
1168,1168: SLOAD,Store read after unsafe call
1271,1271: SSTORE,Store write after unsafe call
1426,1426: SLOAD,Store read after unsafe call
1528,1528: SSTORE,Store write after unsafe call
1673,1673: SLOAD,Store read after unsafe call
1814,1814: SSTORE,Store write after unsafe call
2078,2078: SLOAD,Store read after unsafe call
2085,2085: SSTORE,Store write after unsafe call
2179,2179: SLOAD,Store read after unsafe call
2336,2336: SSTORE,Store write after unsafe call
2623,2623: SLOAD,Store read after unsafe call
2630,2630: SSTORE,Store write after unsafe call
2777,2777: SLOAD,Store read after unsafe call
2918,2918: SSTORE,Store write after unsafe call
2984,2984: SLOAD,Store read after unsafe call
3084,3084: SLOAD,Store read after unsafe call
3167,3167: SSTORE,Store write after unsafe call
3260,3260: SLOAD,Store read after unsafe call
3417,3417: SSTORE,Store write after unsafe call
3526,3526: SLOAD,Store read after unsafe call
3572,3572: SLOAD,Store read after unsafe call
3655,3655: SSTORE,Store write after unsafe call
