offset,opcode,detection
2463,2463: SLOAD,Store read after unsafe call
2509,2509: SLOAD,Store read after unsafe call
2592,2592: SSTORE,Store write after unsafe call
2690,2690: SLOAD,Store read after unsafe call
2697,2697: SSTORE,Store write after unsafe call
2817,2817: SLOAD,Store read after unsafe call
2831,2831: SSTORE,Store write after unsafe call
3559,3559: SLOAD,Store read after unsafe call
3566,3566: SSTORE,Store write after unsafe call
3690,3690: SLOAD,Store read after unsafe call
3789,3789: SSTORE,Store write after unsafe call
3856,3856: SLOAD,Store read after unsafe call
3902,3902: SLOAD,Store read after unsafe call
3985,3985: SSTORE,Store write after unsafe call
4078,4078: SLOAD,Store read after unsafe call
4181,4181: SSTORE,Store write after unsafe call
4285,4285: SLOAD,Store read after unsafe call
4331,4331: SLOAD,Store read after unsafe call
4414,4414: SSTORE,Store write after unsafe call
4624,4624: SLOAD,Store read after unsafe call
4631,4631: SSTORE,Store write after unsafe call
4742,4742: SLOAD,Store read after unsafe call
4756,4756: SSTORE,Store write after unsafe call
4974,4974: SLOAD,Store read after unsafe call
5115,5115: SSTORE,Store write after unsafe call
5261,5261: SLOAD,Store read after unsafe call
5402,5402: SSTORE,Store write after unsafe call
5664,5664: SLOAD,Store read after unsafe call
5671,5671: SSTORE,Store write after unsafe call
5765,5765: SLOAD,Store read after unsafe call
5922,5922: SSTORE,Store write after unsafe call
6226,6226: SLOAD,Store read after unsafe call
6367,6367: SSTORE,Store write after unsafe call
6631,6631: SLOAD,Store read after unsafe call
6638,6638: SSTORE,Store write after unsafe call
7060,7060: SLOAD,Store read after unsafe call
7160,7160: SLOAD,Store read after unsafe call
7243,7243: SSTORE,Store write after unsafe call
7354,7354: SLOAD,Store read after unsafe call
7368,7368: SSTORE,Store write after unsafe call
7596,7596: SLOAD,Store read after unsafe call
7699,7699: SSTORE,Store write after unsafe call
7797,7797: SLOAD,Store read after unsafe call
7804,7804: SSTORE,Store write after unsafe call
