offset,opcode,detection
2203,2203: SLOAD,Store read after unsafe call
2210,2210: SSTORE,Store write after unsafe call
2725,2725: SLOAD,Store read after unsafe call
2732,2732: SSTORE,Store write after unsafe call
3103,3103: SLOAD,Store read after unsafe call
3206,3206: SSTORE,Store write after unsafe call
3298,3298: SLOAD,Store read after unsafe call
3400,3400: SSTORE,Store write after unsafe call
4103,4103: SLOAD,Store read after unsafe call
4244,4244: SSTORE,Store write after unsafe call
4337,4337: SLOAD,Store read after unsafe call
4494,4494: SSTORE,Store write after unsafe call
4605,4605: SLOAD,Store read after unsafe call
4619,4619: SSTORE,Store write after unsafe call
4922,4922: SLOAD,Store read after unsafe call
5063,5063: SSTORE,Store write after unsafe call
5274,5274: SLOAD,Store read after unsafe call
5281,5281: SSTORE,Store write after unsafe call
5427,5427: SLOAD,Store read after unsafe call
5568,5568: SSTORE,Store write after unsafe call
5684,5684: SLOAD,Store read after unsafe call
5841,5841: SSTORE,Store write after unsafe call
5952,5952: SLOAD,Store read after unsafe call
5966,5966: SSTORE,Store write after unsafe call
6095,6095: SLOAD,Store read after unsafe call
6248,6248: SSTORE,Store write after unsafe call
6360,6360: SLOAD,Store read after unsafe call
6374,6374: SSTORE,Store write after unsafe call
6440,6440: SLOAD,Store read after unsafe call
6486,6486: SLOAD,Store read after unsafe call
6569,6569: SSTORE,Store write after unsafe call
6667,6667: SLOAD,Store read after unsafe call
6674,6674: SSTORE,Store write after unsafe call
