offset,opcode,detection
2652,2652: SLOAD,Store read after unsafe call
2659,2659: SSTORE,Store write after unsafe call
2767,2767: SLOAD,Store read after unsafe call
2774,2774: SSTORE,Store write after unsafe call
3184,3184: SLOAD,Store read after unsafe call
3191,3191: SSTORE,Store write after unsafe call
3387,3387: SLOAD,Store read after unsafe call
3433,3433: SLOAD,Store read after unsafe call
3516,3516: SSTORE,Store write after unsafe call
4102,4102: SLOAD,Store read after unsafe call
4205,4205: SSTORE,Store write after unsafe call
4271,4271: SLOAD,Store read after unsafe call
4317,4317: SLOAD,Store read after unsafe call
4400,4400: SSTORE,Store write after unsafe call
4493,4493: SLOAD,Store read after unsafe call
4592,4592: SSTORE,Store write after unsafe call
4685,4685: SLOAD,Store read after unsafe call
4842,4842: SSTORE,Store write after unsafe call
5061,5061: SLOAD,Store read after unsafe call
5202,5202: SSTORE,Store write after unsafe call
5348,5348: SLOAD,Store read after unsafe call
5489,5489: SSTORE,Store write after unsafe call
5635,5635: SLOAD,Store read after unsafe call
5776,5776: SSTORE,Store write after unsafe call
6038,6038: SLOAD,Store read after unsafe call
6045,6045: SSTORE,Store write after unsafe call
6177,6177: SLOAD,Store read after unsafe call
6334,6334: SSTORE,Store write after unsafe call
6445,6445: SLOAD,Store read after unsafe call
6459,6459: SSTORE,Store write after unsafe call
6762,6762: SLOAD,Store read after unsafe call
6903,6903: SSTORE,Store write after unsafe call
7114,7114: SLOAD,Store read after unsafe call
7121,7121: SSTORE,Store write after unsafe call
7214,7214: SLOAD,Store read after unsafe call
7367,7367: SSTORE,Store write after unsafe call
7532,7532: SLOAD,Store read after unsafe call
7546,7546: SSTORE,Store write after unsafe call
7810,7810: SLOAD,Store read after unsafe call
7817,7817: SSTORE,Store write after unsafe call
7930,7930: SLOAD,Store read after unsafe call
8030,8030: SLOAD,Store read after unsafe call
8113,8113: SSTORE,Store write after unsafe call
8206,8206: SLOAD,Store read after unsafe call
8363,8363: SSTORE,Store write after unsafe call
8474,8474: SLOAD,Store read after unsafe call
8488,8488: SSTORE,Store write after unsafe call
8689,8689: SLOAD,Store read after unsafe call
8735,8735: SLOAD,Store read after unsafe call
8818,8818: SSTORE,Store write after unsafe call
8916,8916: SLOAD,Store read after unsafe call
8923,8923: SSTORE,Store write after unsafe call
