offset,opcode,detection
5667,5667: ORIGIN,tx.origin used as authentication check
5884,5884: ORIGIN,tx.origin used as authentication check
6187,6187: ORIGIN,tx.origin used as authentication check
6248,6248: ORIGIN,tx.origin used as authentication check
6380,6380: ORIGIN,tx.origin used as authentication check
6441,6441: ORIGIN,tx.origin used as authentication check
7375,7375: ORIGIN,tx.origin used as authentication check
7436,7436: ORIGIN,tx.origin used as authentication check
7568,7568: ORIGIN,tx.origin used as authentication check
7627,7627: ORIGIN,tx.origin used as authentication check
7688,7688: ORIGIN,tx.origin used as authentication check
7749,7749: ORIGIN,tx.origin used as authentication check
7881,7881: ORIGIN,tx.origin used as authentication check
8499,8499: ORIGIN,tx.origin used as authentication check
8597,8597: ORIGIN,tx.origin used as authentication check
9320,9320: ORIGIN,tx.origin used as authentication check
9379,9379: ORIGIN,tx.origin used as authentication check
9533,9533: ORIGIN,tx.origin used as authentication check
9592,9592: ORIGIN,tx.origin used as authentication check
10808,10808: ORIGIN,tx.origin used as authentication check
11097,11097: ORIGIN,tx.origin used as authentication check
11156,11156: ORIGIN,tx.origin used as authentication check
11288,11288: ORIGIN,tx.origin used as authentication check
11442,11442: ORIGIN,tx.origin used as authentication check
11574,11574: ORIGIN,tx.origin used as authentication check
11728,11728: ORIGIN,tx.origin used as authentication check
11860,11860: ORIGIN,tx.origin used as authentication check
11921,11921: ORIGIN,tx.origin used as authentication check
11980,11980: ORIGIN,tx.origin used as authentication check
12134,12134: ORIGIN,tx.origin used as authentication check
