offset,opcode,detection
5344,5344: ORIGIN,tx.origin used as authentication check
5405,5405: ORIGIN,tx.origin used as authentication check
5521,5521: ORIGIN,tx.origin used as authentication check
5582,5582: ORIGIN,tx.origin used as authentication check
6070,6070: ORIGIN,tx.origin used as authentication check
6129,6129: ORIGIN,tx.origin used as authentication check
6309,6309: ORIGIN,tx.origin used as authentication check
6368,6368: ORIGIN,tx.origin used as authentication check
6500,6500: ORIGIN,tx.origin used as authentication check
6561,6561: ORIGIN,tx.origin used as authentication check
6622,6622: ORIGIN,tx.origin used as authentication check
6826,6826: ORIGIN,tx.origin used as authentication check
6980,6980: ORIGIN,tx.origin used as authentication check
7098,7098: ORIGIN,tx.origin used as authentication check
7666,7666: ORIGIN,tx.origin used as authentication check
7725,7725: ORIGIN,tx.origin used as authentication check
7870,7870: ORIGIN,tx.origin used as authentication check
8066,8066: ORIGIN,tx.origin used as authentication check
8339,8339: ORIGIN,tx.origin used as authentication check
8726,8726: ORIGIN,tx.origin used as authentication check
9039,9039: ORIGIN,tx.origin used as authentication check
9098,9098: ORIGIN,tx.origin used as authentication check
9230,9230: ORIGIN,tx.origin used as authentication check
9407,9407: ORIGIN,tx.origin used as authentication check
9539,9539: ORIGIN,tx.origin used as authentication check
9693,9693: ORIGIN,tx.origin used as authentication check
9825,9825: ORIGIN,tx.origin used as authentication check
9884,9884: ORIGIN,tx.origin used as authentication check
