offset,opcode,detection
8479,8479: ORIGIN,tx.origin used as authentication check
8847,8847: ORIGIN,tx.origin used as authentication check
9064,9064: ORIGIN,tx.origin used as authentication check
9514,9514: ORIGIN,tx.origin used as authentication check
9575,9575: ORIGIN,tx.origin used as authentication check
9707,9707: ORIGIN,tx.origin used as authentication check
9768,9768: ORIGIN,tx.origin used as authentication check
10019,10019: ORIGIN,tx.origin used as authentication check
10836,10836: ORIGIN,tx.origin used as authentication check
10895,10895: ORIGIN,tx.origin used as authentication check
11086,11086: ORIGIN,tx.origin used as authentication check
11668,11668: ORIGIN,tx.origin used as authentication check
11727,11727: ORIGIN,tx.origin used as authentication check
11859,11859: ORIGIN,tx.origin used as authentication check
11918,11918: ORIGIN,tx.origin used as authentication check
11979,11979: ORIGIN,tx.origin used as authentication check
12040,12040: ORIGIN,tx.origin used as authentication check
12172,12172: ORIGIN,tx.origin used as authentication check
12377,12377: ORIGIN,tx.origin used as authentication check
12531,12531: ORIGIN,tx.origin used as authentication check
12796,12796: ORIGIN,tx.origin used as authentication check
12894,12894: ORIGIN,tx.origin used as authentication check
13268,13268: ORIGIN,tx.origin used as authentication check
13327,13327: ORIGIN,tx.origin used as authentication check
13481,13481: ORIGIN,tx.origin used as authentication check
13540,13540: ORIGIN,tx.origin used as authentication check
13599,13599: ORIGIN,tx.origin used as authentication check
13753,13753: ORIGIN,tx.origin used as authentication check
14691,14691: ORIGIN,tx.origin used as authentication check
14823,14823: ORIGIN,tx.origin used as authentication check
15518,15518: ORIGIN,tx.origin used as authentication check
15577,15577: ORIGIN,tx.origin used as authentication check
15709,15709: ORIGIN,tx.origin used as authentication check
15863,15863: ORIGIN,tx.origin used as authentication check
15995,15995: ORIGIN,tx.origin used as authentication check
16149,16149: ORIGIN,tx.origin used as authentication check
16281,16281: ORIGIN,tx.origin used as authentication check
16342,16342: ORIGIN,tx.origin used as authentication check
16401,16401: ORIGIN,tx.origin used as authentication check
16555,16555: ORIGIN,tx.origin used as authentication check
