offset,opcode,detection
5512,5512: ORIGIN,tx.origin used as authentication check
5729,5729: ORIGIN,tx.origin used as authentication check
6470,6470: ORIGIN,tx.origin used as authentication check
6531,6531: ORIGIN,tx.origin used as authentication check
6592,6592: ORIGIN,tx.origin used as authentication check
7066,7066: ORIGIN,tx.origin used as authentication check
7481,7481: ORIGIN,tx.origin used as authentication check
7540,7540: ORIGIN,tx.origin used as authentication check
7732,7732: ORIGIN,tx.origin used as authentication check
7791,7791: ORIGIN,tx.origin used as authentication check
7852,7852: ORIGIN,tx.origin used as authentication check
7913,7913: ORIGIN,tx.origin used as authentication check
8045,8045: ORIGIN,tx.origin used as authentication check
8917,8917: ORIGIN,tx.origin used as authentication check
9015,9015: ORIGIN,tx.origin used as authentication check
9369,9369: ORIGIN,tx.origin used as authentication check
9428,9428: ORIGIN,tx.origin used as authentication check
9582,9582: ORIGIN,tx.origin used as authentication check
9641,9641: ORIGIN,tx.origin used as authentication check
10192,10192: ORIGIN,tx.origin used as authentication check
10480,10480: ORIGIN,tx.origin used as authentication check
10539,10539: ORIGIN,tx.origin used as authentication check
10671,10671: ORIGIN,tx.origin used as authentication check
10825,10825: ORIGIN,tx.origin used as authentication check
10957,10957: ORIGIN,tx.origin used as authentication check
11111,11111: ORIGIN,tx.origin used as authentication check
11243,11243: ORIGIN,tx.origin used as authentication check
11304,11304: ORIGIN,tx.origin used as authentication check
11363,11363: ORIGIN,tx.origin used as authentication check
11517,11517: ORIGIN,tx.origin used as authentication check
