offset,opcode,detection
8213,8213: ORIGIN,tx.origin used as authentication check
8274,8274: ORIGIN,tx.origin used as authentication check
8491,8491: ORIGIN,tx.origin used as authentication check
8794,8794: ORIGIN,tx.origin used as authentication check
8855,8855: ORIGIN,tx.origin used as authentication check
8987,8987: ORIGIN,tx.origin used as authentication check
9054,9054: ORIGIN,tx.origin used as authentication check
9919,9919: ORIGIN,tx.origin used as authentication check
11101,11101: ORIGIN,tx.origin used as authentication check
11170,11170: ORIGIN,tx.origin used as authentication check
11237,11237: ORIGIN,tx.origin used as authentication check
11462,11462: ORIGIN,tx.origin used as authentication check
11521,11521: ORIGIN,tx.origin used as authentication check
11653,11653: ORIGIN,tx.origin used as authentication check
11712,11712: ORIGIN,tx.origin used as authentication check
11773,11773: ORIGIN,tx.origin used as authentication check
11834,11834: ORIGIN,tx.origin used as authentication check
11966,11966: ORIGIN,tx.origin used as authentication check
12215,12215: ORIGIN,tx.origin used as authentication check
12369,12369: ORIGIN,tx.origin used as authentication check
13057,13057: ORIGIN,tx.origin used as authentication check
13173,13173: ORIGIN,tx.origin used as authentication check
14333,14333: ORIGIN,tx.origin used as authentication check
14398,14398: ORIGIN,tx.origin used as authentication check
14552,14552: ORIGIN,tx.origin used as authentication check
14611,14611: ORIGIN,tx.origin used as authentication check
14676,14676: ORIGIN,tx.origin used as authentication check
15399,15399: ORIGIN,tx.origin used as authentication check
15963,15963: ORIGIN,tx.origin used as authentication check
16095,16095: ORIGIN,tx.origin used as authentication check
16384,16384: ORIGIN,tx.origin used as authentication check
16443,16443: ORIGIN,tx.origin used as authentication check
16575,16575: ORIGIN,tx.origin used as authentication check
16729,16729: ORIGIN,tx.origin used as authentication check
16861,16861: ORIGIN,tx.origin used as authentication check
17015,17015: ORIGIN,tx.origin used as authentication check
17147,17147: ORIGIN,tx.origin used as authentication check
17206,17206: ORIGIN,tx.origin used as authentication check
17360,17360: ORIGIN,tx.origin used as authentication check
