offset,opcode,detection
4771,4771: ORIGIN,tx.origin used as authentication check
4830,4830: ORIGIN,tx.origin used as authentication check
4891,4891: ORIGIN,tx.origin used as authentication check
5331,5331: ORIGIN,tx.origin used as authentication check
7974,7974: ORIGIN,tx.origin used as authentication check
9172,9172: ORIGIN,tx.origin used as authentication check
9231,9231: ORIGIN,tx.origin used as authentication check
9720,9720: ORIGIN,tx.origin used as authentication check
9779,9779: ORIGIN,tx.origin used as authentication check
10219,10219: ORIGIN,tx.origin used as authentication check
10659,10659: ORIGIN,tx.origin used as authentication check
10791,10791: ORIGIN,tx.origin used as authentication check
11302,11302: ORIGIN,tx.origin used as authentication check
11779,11779: ORIGIN,tx.origin used as authentication check
13049,13049: ORIGIN,tx.origin used as authentication check
13108,13108: ORIGIN,tx.origin used as authentication check
13262,13262: ORIGIN,tx.origin used as authentication check
13321,13321: ORIGIN,tx.origin used as authentication check
14612,14612: ORIGIN,tx.origin used as authentication check
14958,14958: ORIGIN,tx.origin used as authentication check
15017,15017: ORIGIN,tx.origin used as authentication check
15149,15149: ORIGIN,tx.origin used as authentication check
15303,15303: ORIGIN,tx.origin used as authentication check
15814,15814: ORIGIN,tx.origin used as authentication check
16347,16347: ORIGIN,tx.origin used as authentication check
16479,16479: ORIGIN,tx.origin used as authentication check
16540,16540: ORIGIN,tx.origin used as authentication check
16599,16599: ORIGIN,tx.origin used as authentication check
