offset,opcode,detection
5635,5635: ORIGIN,tx.origin used as authentication check
5694,5694: ORIGIN,tx.origin used as authentication check
5755,5755: ORIGIN,tx.origin used as authentication check
5816,5816: ORIGIN,tx.origin used as authentication check
5948,5948: ORIGIN,tx.origin used as authentication check
6009,6009: ORIGIN,tx.origin used as authentication check
7267,7267: ORIGIN,tx.origin used as authentication check
7371,7371: ORIGIN,tx.origin used as authentication check
7430,7430: ORIGIN,tx.origin used as authentication check
7562,7562: ORIGIN,tx.origin used as authentication check
7621,7621: ORIGIN,tx.origin used as authentication check
7682,7682: ORIGIN,tx.origin used as authentication check
7743,7743: ORIGIN,tx.origin used as authentication check
8422,8422: ORIGIN,tx.origin used as authentication check
8540,8540: ORIGIN,tx.origin used as authentication check
9106,9106: ORIGIN,tx.origin used as authentication check
9165,9165: ORIGIN,tx.origin used as authentication check
9319,9319: ORIGIN,tx.origin used as authentication check
9378,9378: ORIGIN,tx.origin used as authentication check
11221,11221: ORIGIN,tx.origin used as authentication check
11353,11353: ORIGIN,tx.origin used as authentication check
11412,11412: ORIGIN,tx.origin used as authentication check
11566,11566: ORIGIN,tx.origin used as authentication check
11698,11698: ORIGIN,tx.origin used as authentication check
11890,11890: ORIGIN,tx.origin used as authentication check
12022,12022: ORIGIN,tx.origin used as authentication check
12083,12083: ORIGIN,tx.origin used as authentication check
12692,12692: ORIGIN,tx.origin used as authentication check
12846,12846: ORIGIN,tx.origin used as authentication check
