offset,opcode,detection
8453,8453: ORIGIN,tx.origin used as authentication check
8514,8514: ORIGIN,tx.origin used as authentication check
8573,8573: ORIGIN,tx.origin used as authentication check
8634,8634: ORIGIN,tx.origin used as authentication check
8695,8695: ORIGIN,tx.origin used as authentication check
8827,8827: ORIGIN,tx.origin used as authentication check
9660,9660: ORIGIN,tx.origin used as authentication check
9814,9814: ORIGIN,tx.origin used as authentication check
10275,10275: ORIGIN,tx.origin used as authentication check
10340,10340: ORIGIN,tx.origin used as authentication check
11909,11909: ORIGIN,tx.origin used as authentication check
12213,12213: ORIGIN,tx.origin used as authentication check
12272,12272: ORIGIN,tx.origin used as authentication check
12410,12410: ORIGIN,tx.origin used as authentication check
12469,12469: ORIGIN,tx.origin used as authentication check
12530,12530: ORIGIN,tx.origin used as authentication check
12597,12597: ORIGIN,tx.origin used as authentication check
12735,12735: ORIGIN,tx.origin used as authentication check
13438,13438: ORIGIN,tx.origin used as authentication check
13592,13592: ORIGIN,tx.origin used as authentication check
16316,16316: ORIGIN,tx.origin used as authentication check
16415,16415: ORIGIN,tx.origin used as authentication check
19582,19582: ORIGIN,tx.origin used as authentication check
19641,19641: ORIGIN,tx.origin used as authentication check
19795,19795: ORIGIN,tx.origin used as authentication check
23594,23594: ORIGIN,tx.origin used as authentication check
24805,24805: ORIGIN,tx.origin used as authentication check
24965,24965: ORIGIN,tx.origin used as authentication check
25855,25855: ORIGIN,tx.origin used as authentication check
25987,25987: ORIGIN,tx.origin used as authentication check
26516,26516: ORIGIN,tx.origin used as authentication check
26575,26575: ORIGIN,tx.origin used as authentication check
26707,26707: ORIGIN,tx.origin used as authentication check
26861,26861: ORIGIN,tx.origin used as authentication check
26993,26993: ORIGIN,tx.origin used as authentication check
27147,27147: ORIGIN,tx.origin used as authentication check
27279,27279: ORIGIN,tx.origin used as authentication check
27340,27340: ORIGIN,tx.origin used as authentication check
27399,27399: ORIGIN,tx.origin used as authentication check
27826,27826: ORIGIN,tx.origin used as authentication check
