offset,opcode,detection
7318,7318: ORIGIN,tx.origin used as authentication check
7379,7379: ORIGIN,tx.origin used as authentication check
7600,7600: ORIGIN,tx.origin used as authentication check
7960,7960: ORIGIN,tx.origin used as authentication check
8021,8021: ORIGIN,tx.origin used as authentication check
8153,8153: ORIGIN,tx.origin used as authentication check
8586,8586: ORIGIN,tx.origin used as authentication check
8750,8750: ORIGIN,tx.origin used as authentication check
10704,10704: ORIGIN,tx.origin used as authentication check
10763,10763: ORIGIN,tx.origin used as authentication check
11389,11389: ORIGIN,tx.origin used as authentication check
11588,11588: ORIGIN,tx.origin used as authentication check
11647,11647: ORIGIN,tx.origin used as authentication check
11779,11779: ORIGIN,tx.origin used as authentication check
11838,11838: ORIGIN,tx.origin used as authentication check
11899,11899: ORIGIN,tx.origin used as authentication check
11960,11960: ORIGIN,tx.origin used as authentication check
12092,12092: ORIGIN,tx.origin used as authentication check
12500,12500: ORIGIN,tx.origin used as authentication check
12654,12654: ORIGIN,tx.origin used as authentication check
13208,13208: ORIGIN,tx.origin used as authentication check
13307,13307: ORIGIN,tx.origin used as authentication check
15954,15954: ORIGIN,tx.origin used as authentication check
16013,16013: ORIGIN,tx.origin used as authentication check
16167,16167: ORIGIN,tx.origin used as authentication check
16226,16226: ORIGIN,tx.origin used as authentication check
16285,16285: ORIGIN,tx.origin used as authentication check
16445,16445: ORIGIN,tx.origin used as authentication check
16639,16639: ORIGIN,tx.origin used as authentication check
16771,16771: ORIGIN,tx.origin used as authentication check
17243,17243: ORIGIN,tx.origin used as authentication check
17302,17302: ORIGIN,tx.origin used as authentication check
17434,17434: ORIGIN,tx.origin used as authentication check
17588,17588: ORIGIN,tx.origin used as authentication check
17720,17720: ORIGIN,tx.origin used as authentication check
17874,17874: ORIGIN,tx.origin used as authentication check
18006,18006: ORIGIN,tx.origin used as authentication check
18067,18067: ORIGIN,tx.origin used as authentication check
18126,18126: ORIGIN,tx.origin used as authentication check
18572,18572: ORIGIN,tx.origin used as authentication check
