offset,opcode,detection
5134,5134: ORIGIN,tx.origin used as authentication check
5355,5355: ORIGIN,tx.origin used as authentication check
5715,5715: ORIGIN,tx.origin used as authentication check
5776,5776: ORIGIN,tx.origin used as authentication check
5837,5837: ORIGIN,tx.origin used as authentication check
7227,7227: ORIGIN,tx.origin used as authentication check
7866,7866: ORIGIN,tx.origin used as authentication check
7925,7925: ORIGIN,tx.origin used as authentication check
8057,8057: ORIGIN,tx.origin used as authentication check
8116,8116: ORIGIN,tx.origin used as authentication check
8177,8177: ORIGIN,tx.origin used as authentication check
8238,8238: ORIGIN,tx.origin used as authentication check
8370,8370: ORIGIN,tx.origin used as authentication check
8997,8997: ORIGIN,tx.origin used as authentication check
9139,9139: ORIGIN,tx.origin used as authentication check
10732,10732: ORIGIN,tx.origin used as authentication check
10791,10791: ORIGIN,tx.origin used as authentication check
10945,10945: ORIGIN,tx.origin used as authentication check
11004,11004: ORIGIN,tx.origin used as authentication check
11299,11299: ORIGIN,tx.origin used as authentication check
11431,11431: ORIGIN,tx.origin used as authentication check
11490,11490: ORIGIN,tx.origin used as authentication check
11622,11622: ORIGIN,tx.origin used as authentication check
11776,11776: ORIGIN,tx.origin used as authentication check
11908,11908: ORIGIN,tx.origin used as authentication check
12062,12062: ORIGIN,tx.origin used as authentication check
12194,12194: ORIGIN,tx.origin used as authentication check
12255,12255: ORIGIN,tx.origin used as authentication check
12314,12314: ORIGIN,tx.origin used as authentication check
