offset,opcode,detection
7840,7840: ORIGIN,tx.origin used as authentication check
7901,7901: ORIGIN,tx.origin used as authentication check
8264,8264: ORIGIN,tx.origin used as authentication check
8353,8353: ORIGIN,tx.origin used as authentication check
8414,8414: ORIGIN,tx.origin used as authentication check
8546,8546: ORIGIN,tx.origin used as authentication check
8607,8607: ORIGIN,tx.origin used as authentication check
8771,8771: ORIGIN,tx.origin used as authentication check
9507,9507: ORIGIN,tx.origin used as authentication check
9566,9566: ORIGIN,tx.origin used as authentication check
9627,9627: ORIGIN,tx.origin used as authentication check
10162,10162: ORIGIN,tx.origin used as authentication check
10221,10221: ORIGIN,tx.origin used as authentication check
10362,10362: ORIGIN,tx.origin used as authentication check
10444,10444: ORIGIN,tx.origin used as authentication check
10505,10505: ORIGIN,tx.origin used as authentication check
10822,10822: ORIGIN,tx.origin used as authentication check
10954,10954: ORIGIN,tx.origin used as authentication check
11170,11170: ORIGIN,tx.origin used as authentication check
11324,11324: ORIGIN,tx.origin used as authentication check
11562,11562: ORIGIN,tx.origin used as authentication check
11976,11976: ORIGIN,tx.origin used as authentication check
13553,13553: ORIGIN,tx.origin used as authentication check
13612,13612: ORIGIN,tx.origin used as authentication check
13766,13766: ORIGIN,tx.origin used as authentication check
13825,13825: ORIGIN,tx.origin used as authentication check
13884,13884: ORIGIN,tx.origin used as authentication check
14038,14038: ORIGIN,tx.origin used as authentication check
14665,14665: ORIGIN,tx.origin used as authentication check
14797,14797: ORIGIN,tx.origin used as authentication check
14929,14929: ORIGIN,tx.origin used as authentication check
14988,14988: ORIGIN,tx.origin used as authentication check
15120,15120: ORIGIN,tx.origin used as authentication check
15274,15274: ORIGIN,tx.origin used as authentication check
15406,15406: ORIGIN,tx.origin used as authentication check
16163,16163: ORIGIN,tx.origin used as authentication check
16547,16547: ORIGIN,tx.origin used as authentication check
16608,16608: ORIGIN,tx.origin used as authentication check
16667,16667: ORIGIN,tx.origin used as authentication check
16922,16922: ORIGIN,tx.origin used as authentication check
