offset,opcode,detection
2368,2368: ORIGIN,tx.origin used as authentication check
2429,2429: ORIGIN,tx.origin used as authentication check
2490,2490: ORIGIN,tx.origin used as authentication check
2551,2551: ORIGIN,tx.origin used as authentication check
2612,2612: ORIGIN,tx.origin used as authentication check
3234,3234: ORIGIN,tx.origin used as authentication check
4613,4613: ORIGIN,tx.origin used as authentication check
4840,4840: ORIGIN,tx.origin used as authentication check
4899,4899: ORIGIN,tx.origin used as authentication check
4958,4958: ORIGIN,tx.origin used as authentication check
5246,5246: ORIGIN,tx.origin used as authentication check
5305,5305: ORIGIN,tx.origin used as authentication check
5459,5459: ORIGIN,tx.origin used as authentication check
5591,5591: ORIGIN,tx.origin used as authentication check
5783,5783: ORIGIN,tx.origin used as authentication check
5842,5842: ORIGIN,tx.origin used as authentication check
