offset,opcode,detection
6255,6255: ORIGIN,tx.origin used as authentication check
6316,6316: ORIGIN,tx.origin used as authentication check
6537,6537: ORIGIN,tx.origin used as authentication check
6621,6621: ORIGIN,tx.origin used as authentication check
6682,6682: ORIGIN,tx.origin used as authentication check
6814,6814: ORIGIN,tx.origin used as authentication check
6875,6875: ORIGIN,tx.origin used as authentication check
7341,7341: ORIGIN,tx.origin used as authentication check
7573,7573: ORIGIN,tx.origin used as authentication check
7632,7632: ORIGIN,tx.origin used as authentication check
7764,7764: ORIGIN,tx.origin used as authentication check
7823,7823: ORIGIN,tx.origin used as authentication check
7884,7884: ORIGIN,tx.origin used as authentication check
7945,7945: ORIGIN,tx.origin used as authentication check
8077,8077: ORIGIN,tx.origin used as authentication check
8365,8365: ORIGIN,tx.origin used as authentication check
8525,8525: ORIGIN,tx.origin used as authentication check
8623,8623: ORIGIN,tx.origin used as authentication check
9127,9127: ORIGIN,tx.origin used as authentication check
9186,9186: ORIGIN,tx.origin used as authentication check
9340,9340: ORIGIN,tx.origin used as authentication check
9399,9399: ORIGIN,tx.origin used as authentication check
9458,9458: ORIGIN,tx.origin used as authentication check
9612,9612: ORIGIN,tx.origin used as authentication check
9882,9882: ORIGIN,tx.origin used as authentication check
10014,10014: ORIGIN,tx.origin used as authentication check
10302,10302: ORIGIN,tx.origin used as authentication check
10361,10361: ORIGIN,tx.origin used as authentication check
10493,10493: ORIGIN,tx.origin used as authentication check
10647,10647: ORIGIN,tx.origin used as authentication check
10779,10779: ORIGIN,tx.origin used as authentication check
10933,10933: ORIGIN,tx.origin used as authentication check
11071,11071: ORIGIN,tx.origin used as authentication check
11132,11132: ORIGIN,tx.origin used as authentication check
11191,11191: ORIGIN,tx.origin used as authentication check
11345,11345: ORIGIN,tx.origin used as authentication check
