offset,opcode,detection
7561,7561: ORIGIN,tx.origin used as authentication check
7622,7622: ORIGIN,tx.origin used as authentication check
7681,7681: ORIGIN,tx.origin used as authentication check
9065,9065: ORIGIN,tx.origin used as authentication check
9715,9715: ORIGIN,tx.origin used as authentication check
9847,9847: ORIGIN,tx.origin used as authentication check
9908,9908: ORIGIN,tx.origin used as authentication check
12410,12410: ORIGIN,tx.origin used as authentication check
13573,13573: ORIGIN,tx.origin used as authentication check
13632,13632: ORIGIN,tx.origin used as authentication check
13770,13770: ORIGIN,tx.origin used as authentication check
13829,13829: ORIGIN,tx.origin used as authentication check
13890,13890: ORIGIN,tx.origin used as authentication check
13951,13951: ORIGIN,tx.origin used as authentication check
14121,14121: ORIGIN,tx.origin used as authentication check
14446,14446: ORIGIN,tx.origin used as authentication check
15200,15200: ORIGIN,tx.origin used as authentication check
15298,15298: ORIGIN,tx.origin used as authentication check
16547,16547: ORIGIN,tx.origin used as authentication check
16606,16606: ORIGIN,tx.origin used as authentication check
16760,16760: ORIGIN,tx.origin used as authentication check
16819,16819: ORIGIN,tx.origin used as authentication check
16925,16925: ORIGIN,tx.origin used as authentication check
17975,17975: ORIGIN,tx.origin used as authentication check
18107,18107: ORIGIN,tx.origin used as authentication check
18166,18166: ORIGIN,tx.origin used as authentication check
18298,18298: ORIGIN,tx.origin used as authentication check
18587,18587: ORIGIN,tx.origin used as authentication check
18719,18719: ORIGIN,tx.origin used as authentication check
19444,19444: ORIGIN,tx.origin used as authentication check
20554,20554: ORIGIN,tx.origin used as authentication check
20615,20615: ORIGIN,tx.origin used as authentication check
20674,20674: ORIGIN,tx.origin used as authentication check
20828,20828: ORIGIN,tx.origin used as authentication check
