offset,opcode,detection
6657,6657: ORIGIN,tx.origin used as authentication check
6718,6718: ORIGIN,tx.origin used as authentication check
6777,6777: ORIGIN,tx.origin used as authentication check
6838,6838: ORIGIN,tx.origin used as authentication check
6899,6899: ORIGIN,tx.origin used as authentication check
7031,7031: ORIGIN,tx.origin used as authentication check
7111,7111: ORIGIN,tx.origin used as authentication check
8643,8643: ORIGIN,tx.origin used as authentication check
8710,8710: ORIGIN,tx.origin used as authentication check
8842,8842: ORIGIN,tx.origin used as authentication check
9495,9495: ORIGIN,tx.origin used as authentication check
9633,9633: ORIGIN,tx.origin used as authentication check
9793,9793: ORIGIN,tx.origin used as authentication check
11395,11395: ORIGIN,tx.origin used as authentication check
11454,11454: ORIGIN,tx.origin used as authentication check
11608,11608: ORIGIN,tx.origin used as authentication check
11667,11667: ORIGIN,tx.origin used as authentication check
11726,11726: ORIGIN,tx.origin used as authentication check
12671,12671: ORIGIN,tx.origin used as authentication check
12730,12730: ORIGIN,tx.origin used as authentication check
13415,13415: ORIGIN,tx.origin used as authentication check
13929,13929: ORIGIN,tx.origin used as authentication check
13988,13988: ORIGIN,tx.origin used as authentication check
14142,14142: ORIGIN,tx.origin used as authentication check
14480,14480: ORIGIN,tx.origin used as authentication check
14634,14634: ORIGIN,tx.origin used as authentication check
14695,14695: ORIGIN,tx.origin used as authentication check
14754,14754: ORIGIN,tx.origin used as authentication check
14908,14908: ORIGIN,tx.origin used as authentication check
