offset,opcode,detection
6707,6707: ORIGIN,tx.origin used as authentication check
6768,6768: ORIGIN,tx.origin used as authentication check
6985,6985: ORIGIN,tx.origin used as authentication check
7288,7288: ORIGIN,tx.origin used as authentication check
7349,7349: ORIGIN,tx.origin used as authentication check
7481,7481: ORIGIN,tx.origin used as authentication check
7542,7542: ORIGIN,tx.origin used as authentication check
8446,8446: ORIGIN,tx.origin used as authentication check
8513,8513: ORIGIN,tx.origin used as authentication check
8645,8645: ORIGIN,tx.origin used as authentication check
8704,8704: ORIGIN,tx.origin used as authentication check
8765,8765: ORIGIN,tx.origin used as authentication check
8826,8826: ORIGIN,tx.origin used as authentication check
8958,8958: ORIGIN,tx.origin used as authentication check
9163,9163: ORIGIN,tx.origin used as authentication check
9730,9730: ORIGIN,tx.origin used as authentication check
9828,9828: ORIGIN,tx.origin used as authentication check
10559,10559: ORIGIN,tx.origin used as authentication check
10650,10650: ORIGIN,tx.origin used as authentication check
10804,10804: ORIGIN,tx.origin used as authentication check
10863,10863: ORIGIN,tx.origin used as authentication check
10922,10922: ORIGIN,tx.origin used as authentication check
12183,12183: ORIGIN,tx.origin used as authentication check
12341,12341: ORIGIN,tx.origin used as authentication check
12630,12630: ORIGIN,tx.origin used as authentication check
12689,12689: ORIGIN,tx.origin used as authentication check
12821,12821: ORIGIN,tx.origin used as authentication check
12975,12975: ORIGIN,tx.origin used as authentication check
13107,13107: ORIGIN,tx.origin used as authentication check
13261,13261: ORIGIN,tx.origin used as authentication check
13393,13393: ORIGIN,tx.origin used as authentication check
13454,13454: ORIGIN,tx.origin used as authentication check
13513,13513: ORIGIN,tx.origin used as authentication check
13667,13667: ORIGIN,tx.origin used as authentication check
