offset,opcode,detection
4758,4758: ORIGIN,tx.origin used as authentication check
4817,4817: ORIGIN,tx.origin used as authentication check
4878,4878: ORIGIN,tx.origin used as authentication check
4939,4939: ORIGIN,tx.origin used as authentication check
5225,5225: ORIGIN,tx.origin used as authentication check
5681,5681: ORIGIN,tx.origin used as authentication check
5742,5742: ORIGIN,tx.origin used as authentication check
5801,5801: ORIGIN,tx.origin used as authentication check
6029,6029: ORIGIN,tx.origin used as authentication check
6088,6088: ORIGIN,tx.origin used as authentication check
6149,6149: ORIGIN,tx.origin used as authentication check
6210,6210: ORIGIN,tx.origin used as authentication check
6342,6342: ORIGIN,tx.origin used as authentication check
6537,6537: ORIGIN,tx.origin used as authentication check
6640,6640: ORIGIN,tx.origin used as authentication check
6817,6817: ORIGIN,tx.origin used as authentication check
6876,6876: ORIGIN,tx.origin used as authentication check
7030,7030: ORIGIN,tx.origin used as authentication check
7089,7089: ORIGIN,tx.origin used as authentication check
7285,7285: ORIGIN,tx.origin used as authentication check
8228,8228: ORIGIN,tx.origin used as authentication check
8287,8287: ORIGIN,tx.origin used as authentication check
8419,8419: ORIGIN,tx.origin used as authentication check
8573,8573: ORIGIN,tx.origin used as authentication check
8705,8705: ORIGIN,tx.origin used as authentication check
8859,8859: ORIGIN,tx.origin used as authentication check
8991,8991: ORIGIN,tx.origin used as authentication check
9052,9052: ORIGIN,tx.origin used as authentication check
9111,9111: ORIGIN,tx.origin used as authentication check
