offset,opcode,detection
4784,4784: ORIGIN,tx.origin used as authentication check
4994,4994: ORIGIN,tx.origin used as authentication check
5055,5055: ORIGIN,tx.origin used as authentication check
5116,5116: ORIGIN,tx.origin used as authentication check
5402,5402: ORIGIN,tx.origin used as authentication check
5858,5858: ORIGIN,tx.origin used as authentication check
5919,5919: ORIGIN,tx.origin used as authentication check
5978,5978: ORIGIN,tx.origin used as authentication check
6110,6110: ORIGIN,tx.origin used as authentication check
6169,6169: ORIGIN,tx.origin used as authentication check
6230,6230: ORIGIN,tx.origin used as authentication check
6291,6291: ORIGIN,tx.origin used as authentication check
6423,6423: ORIGIN,tx.origin used as authentication check
6618,6618: ORIGIN,tx.origin used as authentication check
6721,6721: ORIGIN,tx.origin used as authentication check
6897,6897: ORIGIN,tx.origin used as authentication check
6956,6956: ORIGIN,tx.origin used as authentication check
7110,7110: ORIGIN,tx.origin used as authentication check
7169,7169: ORIGIN,tx.origin used as authentication check
7364,7364: ORIGIN,tx.origin used as authentication check
8349,8349: ORIGIN,tx.origin used as authentication check
8408,8408: ORIGIN,tx.origin used as authentication check
8540,8540: ORIGIN,tx.origin used as authentication check
8694,8694: ORIGIN,tx.origin used as authentication check
8826,8826: ORIGIN,tx.origin used as authentication check
8980,8980: ORIGIN,tx.origin used as authentication check
9112,9112: ORIGIN,tx.origin used as authentication check
9173,9173: ORIGIN,tx.origin used as authentication check
9232,9232: ORIGIN,tx.origin used as authentication check
9386,9386: ORIGIN,tx.origin used as authentication check
