offset,opcode,detection
4475,4475: ORIGIN,tx.origin used as authentication check
4534,4534: ORIGIN,tx.origin used as authentication check
4595,4595: ORIGIN,tx.origin used as authentication check
4656,4656: ORIGIN,tx.origin used as authentication check
4759,4759: ORIGIN,tx.origin used as authentication check
4820,4820: ORIGIN,tx.origin used as authentication check
4879,4879: ORIGIN,tx.origin used as authentication check
5011,5011: ORIGIN,tx.origin used as authentication check
5070,5070: ORIGIN,tx.origin used as authentication check
5131,5131: ORIGIN,tx.origin used as authentication check
5192,5192: ORIGIN,tx.origin used as authentication check
5330,5330: ORIGIN,tx.origin used as authentication check
6496,6496: ORIGIN,tx.origin used as authentication check
6594,6594: ORIGIN,tx.origin used as authentication check
7432,7432: ORIGIN,tx.origin used as authentication check
7491,7491: ORIGIN,tx.origin used as authentication check
7645,7645: ORIGIN,tx.origin used as authentication check
8304,8304: ORIGIN,tx.origin used as authentication check
9150,9150: ORIGIN,tx.origin used as authentication check
9282,9282: ORIGIN,tx.origin used as authentication check
9341,9341: ORIGIN,tx.origin used as authentication check
9473,9473: ORIGIN,tx.origin used as authentication check
9627,9627: ORIGIN,tx.origin used as authentication check
9759,9759: ORIGIN,tx.origin used as authentication check
9913,9913: ORIGIN,tx.origin used as authentication check
10045,10045: ORIGIN,tx.origin used as authentication check
10106,10106: ORIGIN,tx.origin used as authentication check
10165,10165: ORIGIN,tx.origin used as authentication check
