offset,opcode,detection
8050,8050: ORIGIN,tx.origin used as authentication check
8117,8117: ORIGIN,tx.origin used as authentication check
8334,8334: ORIGIN,tx.origin used as authentication check
8726,8726: ORIGIN,tx.origin used as authentication check
8787,8787: ORIGIN,tx.origin used as authentication check
8919,8919: ORIGIN,tx.origin used as authentication check
8980,8980: ORIGIN,tx.origin used as authentication check
9144,9144: ORIGIN,tx.origin used as authentication check
9363,9363: ORIGIN,tx.origin used as authentication check
9422,9422: ORIGIN,tx.origin used as authentication check
9600,9600: ORIGIN,tx.origin used as authentication check
9992,9992: ORIGIN,tx.origin used as authentication check
10051,10051: ORIGIN,tx.origin used as authentication check
10183,10183: ORIGIN,tx.origin used as authentication check
10242,10242: ORIGIN,tx.origin used as authentication check
10431,10431: ORIGIN,tx.origin used as authentication check
10492,10492: ORIGIN,tx.origin used as authentication check
10624,10624: ORIGIN,tx.origin used as authentication check
11006,11006: ORIGIN,tx.origin used as authentication check
11160,11160: ORIGIN,tx.origin used as authentication check
11292,11292: ORIGIN,tx.origin used as authentication check
11359,11359: ORIGIN,tx.origin used as authentication check
11710,11710: ORIGIN,tx.origin used as authentication check
11769,11769: ORIGIN,tx.origin used as authentication check
11923,11923: ORIGIN,tx.origin used as authentication check
11982,11982: ORIGIN,tx.origin used as authentication check
12047,12047: ORIGIN,tx.origin used as authentication check
12341,12341: ORIGIN,tx.origin used as authentication check
12573,12573: ORIGIN,tx.origin used as authentication check
12705,12705: ORIGIN,tx.origin used as authentication check
12837,12837: ORIGIN,tx.origin used as authentication check
12896,12896: ORIGIN,tx.origin used as authentication check
13028,13028: ORIGIN,tx.origin used as authentication check
13182,13182: ORIGIN,tx.origin used as authentication check
13352,13352: ORIGIN,tx.origin used as authentication check
13506,13506: ORIGIN,tx.origin used as authentication check
13644,13644: ORIGIN,tx.origin used as authentication check
13705,13705: ORIGIN,tx.origin used as authentication check
13764,13764: ORIGIN,tx.origin used as authentication check
13918,13918: ORIGIN,tx.origin used as authentication check
