offset,opcode,detection
5406,5406: ORIGIN,tx.origin used as authentication check
5623,5623: ORIGIN,tx.origin used as authentication check
5926,5926: ORIGIN,tx.origin used as authentication check
5987,5987: ORIGIN,tx.origin used as authentication check
6119,6119: ORIGIN,tx.origin used as authentication check
6180,6180: ORIGIN,tx.origin used as authentication check
7127,7127: ORIGIN,tx.origin used as authentication check
7188,7188: ORIGIN,tx.origin used as authentication check
7247,7247: ORIGIN,tx.origin used as authentication check
7379,7379: ORIGIN,tx.origin used as authentication check
7438,7438: ORIGIN,tx.origin used as authentication check
7499,7499: ORIGIN,tx.origin used as authentication check
7560,7560: ORIGIN,tx.origin used as authentication check
8349,8349: ORIGIN,tx.origin used as authentication check
8554,8554: ORIGIN,tx.origin used as authentication check
9121,9121: ORIGIN,tx.origin used as authentication check
9788,9788: ORIGIN,tx.origin used as authentication check
9847,9847: ORIGIN,tx.origin used as authentication check
10001,10001: ORIGIN,tx.origin used as authentication check
10060,10060: ORIGIN,tx.origin used as authentication check
11784,11784: ORIGIN,tx.origin used as authentication check
12073,12073: ORIGIN,tx.origin used as authentication check
12132,12132: ORIGIN,tx.origin used as authentication check
12264,12264: ORIGIN,tx.origin used as authentication check
12418,12418: ORIGIN,tx.origin used as authentication check
12550,12550: ORIGIN,tx.origin used as authentication check
12704,12704: ORIGIN,tx.origin used as authentication check
12836,12836: ORIGIN,tx.origin used as authentication check
12897,12897: ORIGIN,tx.origin used as authentication check
12956,12956: ORIGIN,tx.origin used as authentication check
13110,13110: ORIGIN,tx.origin used as authentication check
