offset,opcode,detection
4827,4827: ORIGIN,tx.origin used as authentication check
4913,4913: ORIGIN,tx.origin used as authentication check
4974,4974: ORIGIN,tx.origin used as authentication check
5307,5307: ORIGIN,tx.origin used as authentication check
5368,5368: ORIGIN,tx.origin used as authentication check
5522,5522: ORIGIN,tx.origin used as authentication check
5605,5605: ORIGIN,tx.origin used as authentication check
5664,5664: ORIGIN,tx.origin used as authentication check
5857,5857: ORIGIN,tx.origin used as authentication check
5916,5916: ORIGIN,tx.origin used as authentication check
6006,6006: ORIGIN,tx.origin used as authentication check
6067,6067: ORIGIN,tx.origin used as authentication check
6199,6199: ORIGIN,tx.origin used as authentication check
6419,6419: ORIGIN,tx.origin used as authentication check
6608,6608: ORIGIN,tx.origin used as authentication check
7659,7659: ORIGIN,tx.origin used as authentication check
7718,7718: ORIGIN,tx.origin used as authentication check
7872,7872: ORIGIN,tx.origin used as authentication check
8040,8040: ORIGIN,tx.origin used as authentication check
8194,8194: ORIGIN,tx.origin used as authentication check
8397,8397: ORIGIN,tx.origin used as authentication check
8456,8456: ORIGIN,tx.origin used as authentication check
8588,8588: ORIGIN,tx.origin used as authentication check
8742,8742: ORIGIN,tx.origin used as authentication check
8874,8874: ORIGIN,tx.origin used as authentication check
9028,9028: ORIGIN,tx.origin used as authentication check
9160,9160: ORIGIN,tx.origin used as authentication check
9221,9221: ORIGIN,tx.origin used as authentication check
9280,9280: ORIGIN,tx.origin used as authentication check
9434,9434: ORIGIN,tx.origin used as authentication check
