offset,opcode,detection
5109,5109: ORIGIN,tx.origin used as authentication check
5195,5195: ORIGIN,tx.origin used as authentication check
5256,5256: ORIGIN,tx.origin used as authentication check
5317,5317: ORIGIN,tx.origin used as authentication check
5449,5449: ORIGIN,tx.origin used as authentication check
5510,5510: ORIGIN,tx.origin used as authentication check
5664,5664: ORIGIN,tx.origin used as authentication check
5747,5747: ORIGIN,tx.origin used as authentication check
5806,5806: ORIGIN,tx.origin used as authentication check
6699,6699: ORIGIN,tx.origin used as authentication check
6758,6758: ORIGIN,tx.origin used as authentication check
6848,6848: ORIGIN,tx.origin used as authentication check
6909,6909: ORIGIN,tx.origin used as authentication check
7041,7041: ORIGIN,tx.origin used as authentication check
7261,7261: ORIGIN,tx.origin used as authentication check
7450,7450: ORIGIN,tx.origin used as authentication check
7604,7604: ORIGIN,tx.origin used as authentication check
7663,7663: ORIGIN,tx.origin used as authentication check
7817,7817: ORIGIN,tx.origin used as authentication check
8185,8185: ORIGIN,tx.origin used as authentication check
9119,9119: ORIGIN,tx.origin used as authentication check
9322,9322: ORIGIN,tx.origin used as authentication check
9381,9381: ORIGIN,tx.origin used as authentication check
9513,9513: ORIGIN,tx.origin used as authentication check
9667,9667: ORIGIN,tx.origin used as authentication check
9799,9799: ORIGIN,tx.origin used as authentication check
9953,9953: ORIGIN,tx.origin used as authentication check
10085,10085: ORIGIN,tx.origin used as authentication check
10146,10146: ORIGIN,tx.origin used as authentication check
10205,10205: ORIGIN,tx.origin used as authentication check
10359,10359: ORIGIN,tx.origin used as authentication check
