offset,opcode,detection
6222,6222: ORIGIN,tx.origin used as authentication check
6439,6439: ORIGIN,tx.origin used as authentication check
6742,6742: ORIGIN,tx.origin used as authentication check
6803,6803: ORIGIN,tx.origin used as authentication check
6935,6935: ORIGIN,tx.origin used as authentication check
6996,6996: ORIGIN,tx.origin used as authentication check
7474,7474: ORIGIN,tx.origin used as authentication check
7799,7799: ORIGIN,tx.origin used as authentication check
7858,7858: ORIGIN,tx.origin used as authentication check
7990,7990: ORIGIN,tx.origin used as authentication check
8049,8049: ORIGIN,tx.origin used as authentication check
8110,8110: ORIGIN,tx.origin used as authentication check
8171,8171: ORIGIN,tx.origin used as authentication check
8303,8303: ORIGIN,tx.origin used as authentication check
9382,9382: ORIGIN,tx.origin used as authentication check
9486,9486: ORIGIN,tx.origin used as authentication check
9851,9851: ORIGIN,tx.origin used as authentication check
9942,9942: ORIGIN,tx.origin used as authentication check
10096,10096: ORIGIN,tx.origin used as authentication check
10155,10155: ORIGIN,tx.origin used as authentication check
10772,10772: ORIGIN,tx.origin used as authentication check
11241,11241: ORIGIN,tx.origin used as authentication check
11300,11300: ORIGIN,tx.origin used as authentication check
11432,11432: ORIGIN,tx.origin used as authentication check
11586,11586: ORIGIN,tx.origin used as authentication check
11718,11718: ORIGIN,tx.origin used as authentication check
11872,11872: ORIGIN,tx.origin used as authentication check
12004,12004: ORIGIN,tx.origin used as authentication check
12065,12065: ORIGIN,tx.origin used as authentication check
12124,12124: ORIGIN,tx.origin used as authentication check
12278,12278: ORIGIN,tx.origin used as authentication check
